,Time_hrs,mean_inner_CFP,mean_edge_CFP,mean_CFP
541,21.583333333333332,1867.858532465908,744.0902716914985,1361.270016318818
543,21.666666666666664,1865.936276033572,773.5558552056824,1374.3025283347865
545,21.749999999999996,1862.9049265341398,833.3395078062981,1400.1087189247055
547,21.833333333333332,1854.046789386197,890.5192995669365,1420.678918040006
549,21.916666666666664,1848.999262174127,949.2618135376756,1444.0489602704986
551,21.999999999999996,1839.9354690091532,1000.4394746716698,1462.0715274962845
553,22.083333333333332,1834.8560464188129,1048.5230878877678,1480.9451478930307
555,22.166666666666664,1826.5322446975047,1089.7198380870282,1494.7925919676004
557,22.249999999999996,1814.4457505908354,1120.6230472408497,1501.9949387589834
559,22.333333333333332,1801.071472411465,1151.1208852937873,1508.3421207981244
561,22.416666666666664,1788.5984411439795,1183.2791629230308,1515.9291568296796
563,22.499999999999996,1772.8829268292684,1213.6753275926621,1521.0249894612596
565,22.583333333333332,1753.9359607422175,1239.9234915406498,1522.4436203030966
567,22.666666666666664,1742.8615898914309,1265.5307611705714,1527.8664037216831
569,22.749999999999996,1730.5380581452405,1283.2062411135225,1529.0449826406445
571,22.833333333333332,1722.9278486446703,1298.6608926633994,1531.8250450784449
573,22.916666666666664,1721.7843870730362,1314.2959901249346,1538.2264777246069
575,22.999999999999996,1723.3381740196078,1320.6499588538938,1542.0219961599353
577,23.083333333333332,1727.257504432353,1315.4255271338152,1542.1809139106283
579,23.166666666666664,1725.40310877683,1265.7091899555987,1519.1718279209908
581,23.249999999999996,1744.272912974256,1217.0095629934394,1508.2432136457157
583,23.333333333333332,1772.8853467229187,1146.1662480608702,1493.4973325429758
585,23.416666666666664,1811.526936966032,1078.9547794117648,1486.263511859095
587,23.499999999999996,1839.119756467024,1011.5148249954187,1472.6191712787884
589,23.583333333333332,1849.6839478952106,965.5793418647166,1458.53784435206
591,23.666666666666664,1858.755555555556,931.3910577732246,1450.1237061877273
593,23.749999999999996,1861.3810965162766,898.2431588613408,1440.1194634107155
595,23.833333333333332,1869.0951406067843,873.6997250229148,1434.3150182563575
597,23.916666666666664,1875.5008772426286,848.473641821643,1427.7357550994352
599,23.999999999999996,1880.242490904476,828.9676653270004,1422.2643608639596
601,24.083333333333332,1885.8918326020928,812.267577911427,1418.2872315092634
603,24.166666666666664,1887.0110804097242,792.2829252271649,1412.5861747216597
605,24.249999999999996,1892.4338559733594,777.0537113289363,1410.2293550521438
607,24.333333333333332,1895.290830588691,767.1244408887596,1407.7307559327362
609,24.416666666666664,1898.7105626034197,755.5095749310897,1404.9090581526507
611,24.499999999999996,1902.1931556433042,744.0253921106965,1403.191400702302
613,24.583333333333332,1902.9890202933386,738.2415563752078,1401.799819503011
615,24.666666666666664,1902.069363064236,728.9126602853531,1398.9036545879874
617,24.749999999999996,1904.9631027140665,723.5011922826794,1400.1777064262672
619,24.833333333333332,1906.5660079263068,719.8436179815851,1401.2341825673827
621,24.916666666666664,1910.6682749980007,714.909038551528,1401.9019664900295
623,24.999999999999996,1910.3263955089506,715.8360620344716,1403.9412096712686
625,25.083333333333332,1907.3547130068455,713.5785727125651,1402.6828786381946
627,25.166666666666664,1912.3864578414398,714.3641610208983,1406.119275922139
629,25.249999999999996,1910.506661452223,715.5710342355261,1407.3711245283016
631,25.333333333333332,1915.4529364440866,721.9032131241287,1413.3731958142891
633,25.416666666666664,1916.2265957721395,723.644430190293,1415.2724646358804
635,25.499999999999996,1914.9981253210071,718.4812238233832,1412.7084810918734
637,25.583333333333332,1919.0189652091788,718.1313700474873,1416.2124341568365
639,25.666666666666664,1915.4394754198165,716.9647917257013,1415.3162414639194
641,25.749999999999996,1915.4889756835073,719.1930320483375,1417.498632071309
643,25.833333333333332,1916.3683801599038,720.9812504405443,1419.5700203594395
645,25.916666666666664,1918.5859211183224,729.4804565408252,1424.5350258991755
647,25.999999999999996,1926.6432826928808,742.7932133352009,1435.5621876815806
649,26.083333333333332,1925.81494137024,787.0607359397867,1454.7659166582584
651,26.166666666666664,1923.679556252143,821.4836244920641,1467.886150487598
653,26.249999999999996,1917.0638677653617,856.9394349576565,1478.8951211464805
655,26.333333333333332,1903.105454723111,887.9154216783943,1483.4336399850974
657,26.416666666666664,1894.552781235508,921.9432321972847,1492.4912589665394
659,26.499999999999996,1889.4537601874,952.1863767011807,1502.0237907785684
661,26.583333333333332,1881.8762225311573,977.7334117891384,1508.1340210610654
663,26.666666666666664,1873.9763512689858,999.5673020375688,1512.490418168297
665,26.749999999999996,1860.6250609102426,1021.552628849943,1513.7265945436095
667,26.833333333333332,1851.6621042377012,1046.5804490500864,1518.75089272961
669,26.916666666666664,1842.8155299617717,1070.427116420384,1523.3738666057432
671,26.999999999999996,1832.6302643750912,1087.6328707539349,1524.531522142592
673,27.083333333333332,1826.2736688548505,1106.5892215154868,1529.105155728111
675,27.166666666666664,1820.8532850441165,1123.0124766710444,1532.7144916161255
677,27.249999999999996,1816.751130012151,1136.6450787945812,1535.9596923779354
679,27.333333333333332,1816.4109256154165,1149.104388389772,1540.8855202522436
681,27.416666666666664,1816.200374167841,1158.238434163701,1544.5438724126618
683,27.499999999999996,1816.885264205442,1156.9997245179065,1544.058542974701
685,27.583333333333332,1818.1419549234665,1140.3210640272189,1538.714417273526
687,27.666666666666664,1823.6841309823678,1125.8200871265394,1536.481916485502
689,27.749999999999996,1832.1395332153616,1113.3404422570834,1536.244340644653
691,27.833333333333332,1841.9570201936112,1099.5146632071285,1537.0970785319766
693,27.916666666666664,1851.0128782696888,1085.6102332836024,1537.0113647428675
695,27.999999999999996,1871.245073316522,1043.2652598829934,1533.060967692924
697,28.083333333333332,1880.667185178306,1000.2386781318497,1521.6656124960468
699,28.166666666666664,1891.2100348979639,970.7583431554134,1516.6032015788608
